2021-10-13 19:10:651 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 19:10:476 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (b14d89d4356056908c84ffd285b18697)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 19:10:641 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (b14d89d4356056908c84ffd285b18697)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 19:10:796 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (b14d89d4356056908c84ffd285b18697)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 19:10:992 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']'
2021-10-13 19:10:861 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 20:10:305 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 20:10:192 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (0021af3374e20ad2ebf5ab3796aa33e4)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 20:10:306 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (0021af3374e20ad2ebf5ab3796aa33e4)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 20:10:414 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (0021af3374e20ad2ebf5ab3796aa33e4)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 20:10:559 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (0021af3374e20ad2ebf5ab3796aa33e4)] -> xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']]
2021-10-13 20:10:351 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 20:10:801 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (85dd747bfd670d84f8146c2912b7c9c8)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 20:10:977 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (85dd747bfd670d84f8146c2912b7c9c8)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 20:10:86 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (85dd747bfd670d84f8146c2912b7c9c8)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 20:10:217 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (85dd747bfd670d84f8146c2912b7c9c8)] -> xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']]
2021-10-13 20:10:984 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 20:10:707 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (6bac4c050f0773c66ad19ee2b6c53b55)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 20:10:872 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (6bac4c050f0773c66ad19ee2b6c53b55)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 20:10:11 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (6bac4c050f0773c66ad19ee2b6c53b55)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 20:10:181 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']'
2021-10-13 20:10:322 INFO  BasePage :32 - Launching Chrome Browser 
